Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description_encoded,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home_encoded,Desired_Room_Attributes_encoded,Study_Time_Preference,Conflict_Handling_Method_encoded,Communication_Preference_with_Roommate,Age_normalized,id
2.0,2.0,2.0,2.0,1.0,8,2,2,0,0,2,2,3,0,0.2786342473088685,127
2.0,1.0,2.0,2.0,0.0,8,2,2,0,0,2,2,3,0,-1.289066133154216,128
1.0,1.0,3.0,2.0,2.0,2,2,2,0,0,0,2,1,0,-0.5052159429226737,129
2.0,2.0,2.0,1.0,3.0,2,2,2,0,0,0,1,2,0,-0.5052159429226737,130
2.0,1.0,2.0,2.0,1.0,5,2,2,1,0,2,2,2,2,-1.289066133154216,131
2.0,1.0,2.0,1.0,2.0,6,2,2,0,3,0,2,0,0,-1.289066133154216,132
2.0,2.0,2.0,2.0,4.0,5,2,2,1,0,2,1,2,0,0.2786342473088685,133
3.0,0.0,1.0,1.0,1.0,2,2,2,0,3,2,2,1,0,1.0624844375404108,134
2.0,4.0,2.0,1.0,2.0,3,2,2,0,0,2,2,0,0,1.0624844375404108,135
1.0,2.0,2.0,1.0,3.0,5,1,0,0,3,0,1,2,0,1.0624844375404108,136
1.0,1.0,2.0,2.0,2.0,3,1,2,0,0,2,2,1,0,0.2786342473088685,137
3.0,2.0,2.0,1.0,3.0,2,2,0,0,0,2,1,3,2,1.0624844375404108,138
1.0,1.0,2.0,2.0,2.0,5,1,2,0,3,0,2,0,0,-1.289066133154216,139
2.0,0.0,3.0,1.0,1.0,8,1,0,2,2,0,0,1,0,-0.5052159429226737,140
2.0,2.0,0.0,1.0,1.0,5,2,2,0,3,0,2,3,0,-0.5052159429226737,141
1.0,1.0,2.0,0.0,1.0,8,2,1,0,3,0,0,3,0,-0.5052159429226737,142
1.0,2.0,2.0,1.0,1.0,0,0,0,0,0,0,1,1,0,1.0624844375404108,143
3.0,1.0,0.0,2.0,2.0,5,1,2,0,1,0,2,1,0,-1.289066133154216,144
1.0,1.0,2.0,2.0,2.0,3,1,0,0,3,1,0,2,0,-0.5052159429226737,145
3.0,1.0,2.0,1.0,2.0,2,0,0,0,3,0,1,1,0,0.2786342473088685,146
2.0,1.0,2.0,2.0,2.0,7,2,2,1,0,2,2,0,0,-0.5052159429226737,147
2.0,1.0,3.0,1.0,3.0,5,2,2,2,3,0,1,0,0,-0.5052159429226737,148
1.0,0.0,0.0,2.0,2.0,5,1,2,2,0,2,2,3,0,0.2786342473088685,149
0.0,1.0,2.0,1.0,2.0,6,2,2,0,0,2,2,2,0,-1.289066133154216,150
2.0,1.0,0.0,2.0,2.0,7,2,2,0,0,2,2,2,0,-1.289066133154216,151
2.0,0.0,2.0,1.0,2.0,5,2,2,2,3,0,2,2,2,-1.289066133154216,152
0.0,1.0,2.0,1.0,2.0,5,2,0,0,3,0,1,3,2,0.2786342473088685,153
3.0,1.0,3.0,2.0,2.0,7,2,2,1,3,2,2,1,0,0.2786342473088685,154
2.0,2.0,3.0,2.0,0.0,5,2,2,0,0,2,2,0,0,-0.5052159429226737,155
1.0,1.0,2.0,2.0,1.0,5,2,2,0,3,2,0,2,0,-0.5052159429226737,156
2.0,0.0,0.0,1.0,4.0,5,2,2,0,0,0,2,2,2,1.0624844375404108,157
1.0,3.0,2.0,1.0,1.0,5,2,2,0,0,2,2,0,0,0.2786342473088685,158
1.0,1.0,3.0,0.0,2.0,1,1,2,1,3,0,2,0,0,0.2786342473088685,159
2.0,2.0,0.0,1.0,2.0,7,2,0,0,3,0,2,3,2,-0.5052159429226737,160
2.0,2.0,3.0,2.0,0.0,7,2,2,0,3,2,2,3,0,-0.5052159429226737,161
2.0,1.0,3.0,1.0,0.0,8,2,0,1,3,2,1,0,2,1.0624844375404108,162
1.0,1.0,0.0,2.0,2.0,7,2,1,0,3,2,2,1,0,0.2786342473088685,163
1.0,1.0,3.0,2.0,4.0,5,1,2,0,3,0,2,2,0,-1.289066133154216,164
2.0,2.0,3.0,1.0,2.0,8,2,2,0,3,0,2,2,2,-1.289066133154216,165
2.0,2.0,3.0,1.0,1.0,7,2,2,0,3,0,2,1,0,0.2786342473088685,166
2.0,1.0,3.0,1.0,4.0,1,0,0,2,0,2,1,1,0,0.2786342473088685,167
2.0,0.0,3.0,2.0,2.0,2,1,2,0,0,2,2,2,0,0.2786342473088685,168
2.0,2.0,2.0,2.0,1.0,5,0,2,0,3,2,2,1,0,0.2786342473088685,169
2.0,1.0,3.0,2.0,2.0,2,1,2,0,3,2,2,1,0,1.0624844375404108,170
2.0,1.0,2.0,1.0,1.0,5,2,0,2,3,0,2,2,0,1.0624844375404108,171
2.0,1.0,2.0,1.0,1.0,5,2,0,2,3,0,2,2,0,1.0624844375404108,172
2.0,1.0,2.0,1.0,1.0,7,2,0,2,3,0,2,2,0,0.2786342473088685,173
2.0,0.0,3.0,1.0,0.0,7,2,2,0,0,2,2,3,0,1.0624844375404108,175
2.0,1.0,0.0,2.0,2.0,2,2,2,0,0,0,2,1,0,0.2786342473088685,176
3.0,3.0,0.0,1.0,2.0,3,1,2,2,3,0,1,1,0,1.0624844375404108,177
0.0,0.0,0.0,2.0,0.0,7,2,2,0,0,2,2,3,0,-0.5052159429226737,178
2.0,2.0,2.0,1.0,2.0,5,0,0,0,3,0,1,2,0,1.0624844375404108,179
2.0,1.0,3.0,2.0,2.0,8,2,2,0,3,0,2,3,0,0.2786342473088685,180
2.0,2.0,2.0,0.0,1.0,5,0,2,0,0,2,2,1,1,-0.5052159429226737,181
1.0,0.0,0.0,2.0,1.0,7,2,0,0,3,0,2,1,0,-0.5052159429226737,182
0.0,0.0,0.0,2.0,2.0,3,2,2,0,0,2,2,2,0,0.2786342473088685,183
