Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time_Preference,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home,Desired_Room_Attributes,Study_Time_Preference,Conflict_Handling_Method,Communication_Preference_with_Roommate,Age,id,cluster_label
After midnight,Late,Evening,Some,Sometimes,Computer Science,Yes,Very quiet,Prefer personal items,Neat,Social & quiet,Background noise,Hint jokingly,Face-to-face,20,73,0.0
Around midnight,Somewhat early,Late night,Some,Sometimes,Medicine,Yes,Very quiet,Ask before sharing,Clean and organized,Study oriented,No preference,Calm,Face-to-face,19,74,1.0
After midnight,Late,Evening,Some,Sometimes,Computer Science,No,Background noise,Ask before sharing,Neat,Social & quiet,Total quiet,Hint jokingly,Face-to-face,19,75,0.0
at any time,at any time,Late night,Some,Sometimes,Computer Science,No,Background noise,Ask before sharing,Neat,Social & quiet,Background noise,Blunt,Text or messaging apps,21,76,0.0
at any time,at any time,Evening,Significant,Sometimes,Computer Science,No,High noise tolerance,Ask before sharing,Clean and organized,Study oriented,No preference,Blunt,Face-to-face,20,77,0.0
After midnight,Somewhat early,Afternoon,Some,Sometimes,Medicine,Yes,Very quiet,Ask before sharing,Neat,Study oriented,Background noise,Hint jokingly,Face-to-face,20,78,1.0
at any time,Somewhat early,Late night,Some,Sometimes,Medicine,Yes,Very quiet,Ask before sharing,Neat,Study oriented,No preference,Hint jokingly,Face-to-face,18,79,1.0
Around midnight,Somewhat early,Late night,Some,Sometimes,Medicine,No,Very quiet,Ask before sharing,Neat,Study oriented,No preference,Blunt,Face-to-face,19,80,1.0
Before midnight,Very early,Morning,Very little,Never,Business,Yes,Very quiet,Ask before sharing,Clean and organized,Study oriented,Total quiet,Hint jokingly,Face-to-face,23,81,
Around midnight,Somewhat early,Evening,Some,Rarely,Medicine,Yes,Very quiet,Ask before sharing,Neat,Social & quiet,Total quiet,Avoid conflict,Face-to-face,20,82,1.0
After midnight,at any time,Evening,Some,Frequently,Computer Science,Yes,Very quiet,Ask before sharing,Neat,Study oriented,Background noise,Blunt,Text or messaging apps,19,83,0.0
at any time,at any time,Late night,Significant,Sometimes,Computer Science,Yes,Very quiet,Prefer personal items,Neat,Social & quiet,Total quiet,Calm,Face-to-face,19,84,0.0
Around midnight,Somewhat early,Morning,Some,Sometimes,Dentistry,Yes,Very quiet,Ask before sharing,Clean and organized,Social & quiet,Total quiet,Blunt,Face-to-face,21,85,0.0
at any time,Somewhat early,Evening,Some,Rarely,Dentistry,Yes,Very quiet,Ask before sharing,Neat,Study oriented,Total quiet,Blunt,Face-to-face,20,86,0.0
Around midnight,Somewhat early,Morning,Some,Never,Computer Science,Yes,Very quiet,Ask before sharing,Neat,Study oriented,No preference,Avoid conflict,Face-to-face,19,87,0.0
Around midnight,Somewhat early,Morning,Very little,Sometimes,Dentistry,Yes,Background noise,Share freely,Disorganized,Social & quiet,Background noise,Avoid conflict,Face-to-face,21,88,0.0
After midnight,Somewhat early,Evening,Some,Sometimes,Computer Science,No,Very quiet,Ask before sharing,Neat,Social & quiet,No preference,Calm,Face-to-face,20,89,0.0
at any time,at any time,Late night,Some,Often,Dentistry,Yes,Very quiet,Share freely,Clean and organized,Social & quiet,Total quiet,Avoid conflict,Text or messaging apps,20,90,0.0
Before midnight,Somewhat early,Evening,Significant,Sometimes,Computer Science,Maybe,Very quiet,Ask before sharing,Neat,Study oriented,Total quiet,Calm,Face-to-face,20,91,0.0
Before midnight,Very early,Morning,Some,Frequently,Computer Science,Yes,Very quiet,Ask before sharing,Neat,Study oriented,Total quiet,Blunt,Face-to-face,21,92,0.0
After midnight,Late,Evening,Some,Sometimes,Computer Science,No,Very quiet,Ask before sharing,Neat,Social gathering,Background noise,Calm,Face-to-face,19,93,0.0
at any time,at any time,Morning,Significant,Rarely,Computer Science,Yes,Background noise,Ask before sharing,Neat,Social & quiet,Total quiet,Blunt,Face-to-face,19,94,0.0
at any time,at any time,Evening,Some,Rarely,Computer Science,Maybe,Background noise,Ask before sharing,Clean and organized,Social & quiet,Total quiet,Hint jokingly,Face-to-face,19,95,0.0
at any time,at any time,Evening,Some,Sometimes,Dentistry,Yes,Very quiet,Ask before sharing,Neat,Social & quiet,Total quiet,Hint jokingly,Text or messaging apps,21,96,0.0
Before midnight,Very early,Late night,Significant,Rarely,Business,Yes,Very quiet,Ask before sharing,Neat,Study oriented,Total quiet,Hint jokingly,Notes/letters,19,97,0.0
Before midnight,Very early,Evening,Significant,Sometimes,Business,Maybe,Very quiet,Ask before sharing,Neat,Study oriented,Total quiet,Avoid conflict,Face-to-face,20,98,0.0
at any time,Somewhat early,Morning,Some,Sometimes,Computer Science,Yes,Very quiet,Ask before sharing,Clean and organized,Social & quiet,Total quiet,Calm,Face-to-face,22,99,
at any time,at any time,Late night,Some,Sometimes,Computer Science,Yes,Background noise,Ask before sharing,Clean and organized,Social & quiet,Total quiet,Avoid conflict,Face-to-face,22,100,
at any time,at any time,Morning,Some,Sometimes,Computer Science,Yes,Very quiet,Prefer personal items,Neat,Social & quiet,No preference,Blunt,Face-to-face,23,101,
Before midnight,Very early,Morning,Some,Sometimes,Engineering,Maybe,Very quiet,Ask before sharing,Neat,Study oriented,Total quiet,Blunt,Face-to-face,18,102,0.0
at any time,at any time,Late night,Some,Sometimes,Dentistry,Yes,Very quiet,Ask before sharing,Cluttered,Social & quiet,Total quiet,Avoid conflict,Text or messaging apps,21,103,0.0
Before midnight,Very early,Morning,Some,Sometimes,Computer Science,Yes,Very quiet,Ask before sharing,Clean and organized,Study oriented,Total quiet,Calm,Face-to-face,20,104,0.0
Before midnight,Somewhat early,Morning,Some,Sometimes,Computer Science,Maybe,Very quiet,Ask before sharing,Neat,Social & quiet,Total quiet,Hint jokingly,Face-to-face,19,105,0.0
Around midnight,Late,Late night,Some,Frequently,Dentistry,Yes,Very quiet,Ask before sharing,Neat,Social & quiet,No preference,Hint jokingly,Face-to-face,20,106,0.0
After midnight,at any time,Evening,Some,Rarely,Dentistry,Maybe,Background noise,Share freely,Neat,Social & quiet,Total quiet,Hint jokingly,Face-to-face,21,107,0.0
After midnight,Somewhat early,Morning,Some,Rarely,Computer Science,Yes,Very quiet,Ask before sharing,Clean and organized,Social & quiet,Total quiet,Hint jokingly,Face-to-face,19,108,0.0
at any time,Somewhat early,Morning,Significant,Never,Computer Science,Yes,Very quiet,Ask before sharing,Neat,Study oriented,Total quiet,Calm,Text or messaging apps,23,109,
After midnight,Late,Afternoon,Significant,Sometimes,Computer Science,Yes,Background noise,Ask before sharing,Neat,Social & quiet,Total quiet,Avoid conflict,Text or messaging apps,21,110,0.0
Before midnight,Somewhat early,Morning,Some,Never,Computer Science,Yes,Very quiet,Prefer personal items,Neat,Study oriented,Total quiet,Hint jokingly,Text or messaging apps,19,111,0.0
Before midnight,Very early,Morning,Some,Sometimes,Computer Science,Yes,Background noise,Ask before sharing,Neat,Social & quiet,No preference,Hint jokingly,Face-to-face,23,112,
Around midnight,As late as possible,Morning,Some,Sometimes,Medicine,Yes,Very quiet,Ask before sharing,Clean and organized,Social & quiet,Total quiet,Avoid conflict,Face-to-face,21,113,1.0
After midnight,at any time,Late night,Significant,Sometimes,Pharmacy,Maybe,Very quiet,Ask before sharing,Neat,Social & quiet,No preference,Blunt,Face-to-face,20,114,1.0
