Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description_encoded,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home_encoded,Desired_Room_Attributes_encoded,Study_Time_Preference,Conflict_Handling_Method_encoded,Communication_Preference_with_Roommate,Age_normalized,id,cluster_label
2.0,2.0,2.0,2.0,1.0,5,0,2,0,3,2,2,1,0,0.2786342473088685,169,1
2.0,1.0,3.0,2.0,2.0,2,1,2,0,3,2,2,1,0,1.0624844375404108,170,0
2.0,1.0,2.0,1.0,1.0,5,2,0,2,3,0,2,2,0,1.0624844375404108,171,1
2.0,1.0,2.0,1.0,1.0,5,2,0,2,3,0,2,2,0,1.0624844375404108,172,1
2.0,1.0,2.0,1.0,1.0,7,2,0,2,3,0,2,2,0,0.2786342473088685,173,1
2.0,0.0,3.0,1.0,0.0,7,2,2,0,0,2,2,3,0,1.0624844375404108,175,1
2.0,1.0,0.0,2.0,2.0,2,2,2,0,0,0,2,1,0,0.2786342473088685,176,0
3.0,3.0,0.0,1.0,2.0,3,1,2,2,3,0,1,1,0,1.0624844375404108,177,0
0.0,0.0,0.0,2.0,0.0,7,2,2,0,0,2,2,3,0,-0.5052159429226737,178,1
2.0,2.0,2.0,1.0,2.0,5,0,0,0,3,0,1,2,0,1.0624844375404108,179,1
2.0,1.0,3.0,2.0,2.0,8,2,2,0,3,0,2,3,0,0.2786342473088685,180,1
2.0,2.0,2.0,0.0,1.0,5,0,2,0,0,2,2,1,1,-0.5052159429226737,181,1
1.0,0.0,0.0,2.0,1.0,7,2,0,0,3,0,2,1,0,-0.5052159429226737,182,1
0.0,0.0,0.0,2.0,2.0,3,2,2,0,0,2,2,2,0,0.2786342473088685,183,0
1.0,1.0,0.0,2.0,0.0,2,2,2,0,3,2,2,2,0,-0.5052159429226737,184,0
0.0,2.0,1.0,1.0,0.0,8,2,2,1,3,2,2,3,0,0.2786342473088685,185,1
1.0,0.0,3.0,1.0,1.0,6,1,1,0,0,2,0,1,0,-0.5052159429226737,186,1
1.0,1.0,0.0,2.0,1.0,2,2,2,0,0,2,2,3,0,0.2786342473088685,187,0
2.0,2.0,2.0,1.0,2.0,7,2,2,0,3,0,2,0,0,0.2786342473088685,188,1
3.0,2.0,2.0,2.0,3.0,8,2,2,0,0,2,1,3,0,0.2786342473088685,189,1
1.0,1.0,2.0,1.0,2.0,2,1,2,1,0,0,0,1,0,0.2786342473088685,190,0
